 91, 167,  95, 151
 92, 486, 482, 439
 93, 483, 441, 482
 94, 168, 151,  96
 95, 169,  98, 146
 96, 335, 235, 333
 97, 236,  16,  15
 98, 170, 146,  99
 99, 246,  17,  16
100, 172, 102, 142
101, 171, 170, 100
102, 143, 142, 103
103, 325, 210, 209
104, 144, 143, 104
105, 145, 144, 105
106, 252,   8, 130
107, 107,   6,  63
108, 251,  63,  62
109, 187, 108, 186
110, 312, 251, 141
111, 188, 109, 187
112, 190, 111, 189
113, 191, 112, 190
114, 192, 113, 191
115, 193, 114, 192
116, 194, 115, 193
117, 195, 116, 194
118, 196, 117, 195
119, 197, 118, 196
120, 424, 334, 407
121, 199, 120, 198
122, 200, 121, 199
123, 208, 122, 200
124, 318, 208, 313
125, 209, 123, 208
126, 210, 124, 209
127, 257, 143, 144
128, 212, 126, 211
129, 213, 127, 212
130, 214, 128, 213
131, 131,  26,   3
132, 399, 276, 275
133, 132,  35,   4
134, 248, 132,   4
135, 133,   1,  18
136, 237,  18,  19
137, 134,   3,  27
138, 238,  27,  28
139, 135,   9,   1
140, 419, 412, 364
141, 136,  36,   2
142, 250, 136,   2
143, 137,   4,  44
144, 245,  44,  43
145, 172, 171, 101
146, 138,   2,  17
147, 139,  47,  46
148, 152,  46,  45
149, 260, 255, 140
150, 140,  61,  60
151, 448, 378, 375
152, 141,  62,  61
153, 142, 102, 103
154, 143, 103, 104
155, 144, 104, 105
156, 319, 211, 317
157, 145, 105, 106
158, 326, 212, 319
159, 252, 106,   8
160, 252, 145, 106
161, 236,  15, 217
162, 146,  98,  99
163, 147,  91,  92
164, 150,  92,  93
165, 291,  65, 173
166, 149,  90,  91
167, 272, 149, 147
168, 385, 272, 274
169, 166,  93,  94
170, 274, 150, 262
171, 234,  12, 216
172, 151,  95,  96
173, 253,  45,   5
174, 253, 152,  45
175, 275, 153, 259
176, 153,  48,  47
177, 276, 154, 275
178, 154,  49,  48
179, 277, 155, 276
180, 155,  50,  49
181, 381, 357, 346
182, 156,  51,  50
183, 278, 157, 263
184, 157,  52,  51
185, 223, 222,  30
186, 158,  53,  52
187, 224, 223,  31
188, 159,  54,  53
189, 225, 224,  32
190, 160,  55,  54
191, 243, 225,  33
192, 161,  56,  55
193, 279, 162, 267
194, 162,  57,  56
195, 391, 386, 279
196, 163,  58,  57
197, 400, 375, 268
198, 164,  59,  58
199, 165, 140,  60
200, 165,  59, 164
201, 166, 150,  93
202, 167, 166,  94
203, 167,  94,  95
204, 441, 343, 439
205, 169, 168,  97
206, 442, 333, 440
207, 169,  97,  98
208, 282, 146, 271
209, 171, 100, 101
210, 336, 217, 335
211, 283, 172, 261
212, 348, 236, 336
213, 172, 101, 102
